'according',לפי
'accounted',נחשב/נלקח בחשבון
'accounts',
'accusations',האשמות
'accused',הואשם
'acknowledged',מכיר ב
'acknowledges',
'add',הוסיף
'added',
'adding',
'address',פנה/הפנה
'adds',הוסיף
'admit',הודה
'admitted',
'affirmed',אישר
'agree',הסכים
'agreed',
'agrees',
'alleged',לכאורה/טען
'alleging',
'announce',הכריז
'announced',
'announcement',הכרזה
'announcing',
'anticipate',ציפה
'anticipates',
'applauded',שיבח
'argued',טען
'Asked',שאל/ביקש
'asked',
assailed',תקף
asserted',טען
'assume',הניח
'assumed',
'assuming',
'assumption',הֲנחה
'assurance',הבטחה
'assure',הבטיח
'assured',
'attacked',תקף
attributed',ייחס
'aware',מודע
'became',הפך
'believe',האמין
'believed',
'believes',
'believing',
'betting',התערב?
'blamed',האשים
brimmed',התמלא עד קצהו
'cabling',?
'calculate',חישב
'calculated',
'calculating',
'called',קרא
'calling',
'calls',
'cautioning',הזהיר
'celebrates',חגג?
'certify',אישר/הצהיר
'chanted',שר
'Chanting',
'charged',טען/האשים
'charges',
'cited',ציטט
'citing',
'claim',טען
'claimed',
'claiming',
'claims',
'comment',העיר
'commenting',
'compiled',מורכב מ?
'complained',
conceded',הודה/ויתר
'Concern',נוגע ל
'concern',
'concerned',
'concerns',
'conclude',הסיק
'concluded',
'condemned',גינה
'condemning',
'confidence',ביטחון
'confident',בטוח
'confirm',אישר
'confirmation',אישור
'confirmed',
'consider',החשיב/שקל
'considered',
'considering',
'considers',
'convicted',הרשיע/מורשע
'countered',התנגד
'criticized',ביקר
'curious',סקרן
'decided',החליט
'declare',הכריז
'declared',
'declares',
'declaring',
'decried',הכריז
'delivered',נמסר?
'demonstrating',הדגים
'denounced',הוקיע
'deny',הכחיש
'denied',
described',תיאר
'determine',נחוש
'disappointment',אכזבה
'disavow',התכחש
'disclosed',לחשוף
'discloses',
'disclosing',
'discover',לגלות
'discovered',
'discovery',
'discuss',דן
'dismayed',להדאיג
'disregarded',התעלם
'divulge',לגלות סוג
'doubt',פיקפק
'dreamed',חלם
'emphasized',הדגיש
'established',ייסד
'estimate',העריך
'estimated',
'Estimates',
'estimates',
'evidence',ראייה/עדות
'exclude',להוציא מן הכלל
'expect',ציפה
'expected',
'expecting',
'expects',
'experienced',מנוסה
'explain',הסביר
'explaining',
'expressed',
'fear',פחד
'fearing',
'fears',
'feels',הרגיש
'felt',
'filed',?
'finds',מצא
'found',
'forecast',תחזית
'foresee',חזה
'foresees',
'frustrating',תיסכל
'guarantees',הבטיח/ערב
'hailed',הילל
'happy',שמח
'hear',שמע
'heard',
'hope',קיווה
'hopes',
'implication',השלכה
'imply',השתמע/השליך
'indicate',מצביע
'indicated',
'indicating',
'indications',אינדיקציה
'indicted',מואשם?
'informed',מיודע
'insisted',התעקש
'insists',
'investigate',חקר
'investigated',
'investigating',
'knew',ידע
'know',
'knowing',
'known',
'lamented',קונן?
'learned',למד
'listed',מנה/רשם
'look',הסתכל
'looks',
maintains',שימר/תיחזק
'make',עשה
'meant',התכוון
'mentioned',הזכיר
'message',הודעה/הודיע
'news',חדשות
'note',שם לב
'noted',
'notes',
'notifying',
'Noting',
'noting',
'objected',התנגד
'objections',
'observed',שם לב
'observes',
'opposed',התנגד
'persuade',שיכנע
'plead',התחנן
'pleased',ריצה
'pointed',הצביע
'post',שלח
'posted',
'posting',
'predict',חזה
'predicted',
'predicting',
'projected',הקרין
'pronounced',ביטא?
'proof',הוכחה
'protest',מחה
'protesting',
'prove',הוכיח
'purports',התיימר
'question',שאל
'questioned',
'quoted',ציטט
'quoting',
'Rated',דירג
'read',קרא
'realized',הבין
'reasoned',נימק
'recalled',נזכר
'recognized',הכיר
'recognizes',
'referring',התייחס
'regretted',הצטער/התחרט
'rejected',דחה
'remembered',זכר
'remembers',
'Replied',ענה/הגיב
'replied',
'report',דיווח
'reported',
'reporting',
'reports',
'resolutions',החלטות
'responded',ענה/הגיב
'ruled',שלט
'rumored',?
'said',אמר
'say',
'saying',
'says',
'see',ראה
'saw',
'seeing',
'seen',
'sees',
'shocked',המום/הימם
'showed',הראה
'showing',
'shown',
'signals',סימֵן
'sized',מדד
'skeptical',סקפטי
'sketched',שרטט/התווה
'specify',ציין
'speculated',שיער
'spelling',איית
'spotted',הבחין
'state',טען/נקב
'stated',
'stressed',לחץ/לחוץ
'suggest',הציע
'suggested',
'suggesting',
'suggestion',
'supported',תמך
'sure',בטוח
'surprised',הפתיע
'suspect',חשד
'suspected',
'suspicion',חשד
'taking',לקח
'talk',
'talking',
'tell',אמר
'telling',
'told',
'tells',
'termed',תבע מונח/כינה
'Think',חשב
'think',
'thinks',
'thought',
'understands',הבין
'understood',
'unhappy',עצוב
'unknown',לא ידוע
'value',העריך
'valued',
'verifying',אימת
'viewed',ראה
'views',
'vowing',נדר/נשבע
'warned',הזהיר
'warning',אזהרה
'warnings',
'warns',
'watched',הסתכל
'welcomed',קיבל בברכה?
'welcomes',
'witness',היה עד
'witnessing',
'wonder',תמה/השתומם/השתאה
'wondered',
'wondering',
'wonders',
'worried',דאג
'worries',
'worry',
'wrote',כתב